Date,날짜,출근 후 오늘 목표,예상 결과물,퇴근 전 오늘 결과물," 내일/다음주 월요일 할 것"
"May 23, 2023 12:13 PM",20230523,"- 크몽 작가
- 콜드콜 다시 follow up
- 테크 길드 프로세스 판단
- 신제품 전략을 위한 가설의 필요충분조건 집합
- 슬랙 체크
- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- CP사 사업 영역 체크
- 저번주 주간보고서","- 크몽 작가와 연락
- 크몽 작가 요구사항 전달
- 6시 AI 작가 전달
- 크몽 다시 전화드리기
- 슬랙 체크
- 메일 체크
- 뉴스레터 체크
- 저번주 주간보고서","- 크몽 작가와 연락
- 크몽 작가 요구사항 전달
- 6시 AI 작가 전달
- 크몽 다시 전화드리기
- 슬랙 체크
- 메일 체크
- 뉴스레터 체크
- 저번주 주간보고서","- 인바운드 대응
- 콜드콜 다시 follow up
- CP사 사업 영역 체크
- 테크 길드 프로세스 판단
- 신제품 전략을 위한 가설의 필요충분조건 집합"
"May 22, 2023 11:29 AM",20230522,"- 기리님께 JD 전달 ASAP
- 회의 정리
- 슬랙 체크
- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- AI 작가 운영방안 슬랙에 올리기
- 테크 길드 프로세스 판단
- 신제품 전략을 위한 가설의 필요충분조건 집합
- 크몽 AI hooking point
- 저번주 주간보고서","- 기리님께 JD 전달 ASAP
- 회의 정리
- 슬랙 체크
- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- AI 작가 운영방안 슬랙에 올리기
- 승환님 컨펌 준비
- 크몽 AI hooking point
- 콜드콜 다시 follow up
- 테크 길드 프로세스 판단
- 신제품 전략을 위한 가설의 필요충분조건 집합
- 저번주 주간보고서","- 기리님께 JD 전달
- 회의 정리
- 슬랙 체크
- 메일 체크
- 뉴스레터 체크
- AI 작가 운영방안 슬랙에 올리기
- 승환님 컨펌 준비
- 크몽 AI hooking point","- 인바운드 대응
- 콜드콜 다시 follow up
- 테크 길드 프로세스 판단
- 신제품 전략을 위한 가설의 필요충분조건 집합
- 저번주 주간보고서"
"May 19, 2023 11:35 AM",20230519,"- 슬랙체크
- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- 콜드콜 콜드메일 B2B 답변 없는 이유와 해결방안
- AI 반감 해결방안
- 관리기능이 들어가야 하는 이유
- 경쟁사 조사","- 슬랙체크
- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- 고객사(CP사) 리스트 만들기
- 콜드콜 콜드메일 B2B 답변 없는 이유와 해결방안
- AI 반감 해결방안
- 관리기능이 들어가야 하는 이유
- 경쟁사 조사","- 슬랙체크
- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- 고객사(CP사) 리스트 만들기
- 콜드콜 콜드메일 B2B 답변 없는 이유와 해결방안
- AI 반감 해결방안
- 관리기능이 들어가야 하는 이유
- 경쟁사 조사
- KPT",- 기리님께 JD 전달 ASAP
"May 18, 2023 11:50 AM",20230518,"- 슬랙체크
- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- 크몽
- 콜드콜 콜드메일 B2B 답변 없는 이유와 해결방안
- AI 반감 해결방안
- 관리기능이 들어가야 하는 이유
- 경쟁사 조사","- 슬랙체크
- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- 크몽
- 콜드콜 콜드메일 B2B 답변 없는 이유와 해결방안
- AI 반감 해결방안
- 관리기능이 들어가야 하는 이유
- 경쟁사 조사","- 슬랙 체크
- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- 크몽
— 웹툰 price 전략
— 웹소설 price 전략
— promotion 전략
— 스케줄 체크
— 필요한 자원 체크","- 콜드콜 콜드메일 B2B 답변 없는 이유와 해결방안
- AI 반감 해결방안
- 관리기능이 들어가야 하는 이유
- 경쟁사 조사"
"May 17, 2023 11:34 AM",20230517,"- 슬랙체크
- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- 크몽 
- 프로세스 점검
- AI 반감 해결 방안
- 게임업체 제안 내용
- 관리기능이 필요하다고 느끼는 이유","- 슬랙체크
- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- 크몽 
- 프로세스 점검
- AI 반감 해결 방안
- 게임업체 제안 내용
- 관리기능이 필요하다고 느끼는 이유","- 슬랙체크
- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- 크몽 
— 웹연갤에 올려보고 반응 알아보기
— 웹툰 포함하기
— 웹툰 시세 파악","- 프로세스 점검
- AI 반감 해결 방안
- 게임업체 제안 내용
- 관리기능이 필요하다고 느끼는 이유"
"May 16, 2023 11:20 AM",20230516,"- 슬랙체크
- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- 크몽 기획
- 프로세스 점검
- AI 반감 해결 방안
- 게임업체 제안 내용
- 관리기능이 필요하다고 느끼는 이유","- 슬랙체크
- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- 크몽 기획
- 프로세스 점검
- AI 반감 해결 방안
- 게임업체 제안 내용
- 관리기능이 필요하다고 느끼는 이유","- 슬랙체크
- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- 크몽 
— JD 확인하기
— 홍보용 게시물 일단 올려보기
— 웹툰 포함하기","- 크몽 
- 프로세스 점검
- AI 반감 해결 방안
- 게임업체 제안 내용
- 관리기능이 필요하다고 느끼는 이유"
"May 15, 2023 2:44 PM",20230515,"- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- 주간보고서
- 크몽 기획
- 프로세스 점검
- AI 반감 해결 방안
- 게임업체 제안 내용
- 관리기능이 필요하다고 느끼는 이유","- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- 주간보고서
- 타겟 고객 리스트 확보
- 경쟁사 세부정보 파악 위한 정보 리스트업
- 크몽 기획
- 프로세스 점검
- AI 반감 해결 방안
- 게임업체 제안 내용
- 관리기능이 필요하다고 느끼는 이유","- 저번주 스크럼 정리
- 오늘 스크럼 정리
- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- 주간보고서
- 타겟 고객 리스트 확보 방식 파악
- 크몽 기획","- 크몽 기획
- 프로세스 점검
- AI 반감 해결 방안
- 게임업체 제안 내용
- 관리기능이 필요하다고 느끼는 이유"
"May 12, 2023 12:08 PM",20230512,"- 올핸즈 정리
- 크릭앤리버 미팅
- 크몽 기획
- 경쟁사 리서치
- 게임업체 제안 내용
- 관리기능이 필요하다고 느끼는 이유","- 올핸즈 정리
- 크릭앤리버 미팅
","- 올핸즈 정리
- 크릭앤리버 미팅 정리","- 크몽 기획
- 게임업체 제안 내용
- 관리기능이 필요하다고 느끼는 이유
- 주간보고서"
"May 11, 2023 10:41 AM",20230511,"- 메일 체크
- 인바운드 체크
- 뉴스레터 체크
- 저번주 보고서
- 저저번주 보고서
- 저저저번주 보고서
- 경쟁사 리서치
- 크몽 기획
- 게임업체 제안 내용
- 관리기능이 필요하다고 느끼는 이유","- 메일 체크
- 인바운드 체크
- 뉴스레터 체크
- 저번주 보고서
- 저저번주 보고서
- 저저저번주 보고서
- 크몽 기획","- 메일 체크
- 인바운드 체크
- 뉴스레터 체크
- 저번주 보고서
- 저저번주 보고서
- 저저저번주 보고서
- 크몽 기획","- 경쟁사 리서치
- 게임업체 제안 내용
- 관리기능이 필요하다고 느끼는 이유"
"May 10, 2023 11:01 AM",20230510,"- 보고서 제작업체 컨택
- 설문견적 컨택
- Quickwork 파트너십 내용 확인
- 스마트스터디 건 확인
- 시장조사내용 확인
- 슬랙 체크
- 메일 체크
- 뉴스레터 체크
- 지금 설문조사 준비가 의미가 있을까?
- 게임업체 제안 내용
- 라이트노벨 콜드콜
- 경쟁사 리서치","- 보고서 제작업체 컨택
- 설문견적 컨택
- Quickwork 파트너십 내용 확인
- 라이트노벨 콜드콜
- 슬랙 체크
- 메일 체크
- 뉴스레터 체크
- 스마트스터디 건 확인
- 시장조사내용 확인
","- 보고서 제작업체 컨택
- 설문견적 컨택
- Quickwork 파트너십 내용 확인
- 라이트노벨 및 부재중 콜드콜
- 슬랙 체크
- 메일 체크
- 뉴스레터 체크
- 스마트스터디 건 확인
- 시장조사내용 확인","- 저번주 보고서
- 저저번주 보고서
- 저저저번주 보고서
- 크몽 기획
- 경쟁사 리서치
- 게임업체 제안 내용"
